district,incumbent,winner,status,dem_votes,gop_votes,other_votes,dem_pct,gop_pct,other_pct,margin,swing_from_pres20,pct_of_2020_turnout
FL-03,-1,Kat Cammack (R),Republican hold,103382,178101,3410,0.363,0.625,0.012,R+26.2,R+12.2,0.72
FL-04,0,Aaron Bean (R),Republican gain,108402,165696,5,0.395,0.605,0,R+20.9,R+14.2,0.68
FL-05,-1,John Rutherford (R),Republican hold,0,1,,0,1,0,R+100,R+84.3,0
FL-06,-1,Michael Waltz (R),Republican hold,,226548,74207,0,0.753,0.247,R+75.3,R+51.7,0.7
FL-07,0,Cory Mills (R),Republican gain,126079,177966,,0.415,0.585,0,R+17.1,R+11.5,0.7
FL-08,-1,Bill Posey (R),Republican hold,120080,222128,,0.351,0.649,0,R+29.8,R+12.2,0.74
FL-09,1,Darren Soto (D),Democratic hold,108541,93827,,0.536,0.464,0,D+7.3,R+10.1,0.59
FL-10,0,Maxwell Frost (D),Democratic hold,117955,78844,3111,0.59,0.394,0.016,D+19.6,R+12.1,0.59
FL-11,-1,Daniel Webster (R),Republican hold,115647,205995,4967,0.354,0.631,0.015,R+27.7,R+16.8,0.77
FL-12,-1,Gus Bilirakis (R),Republican hold,95377,226583,4,0.296,0.704,0,R+40.8,R+12.1,0.75
FL-13,0,Anna Paulina Luna (R),Republican gain,153876,181487,6183,0.451,0.531,0.018,R+8.1,R+1.3,0.76
FL-14,1,Kathy Castor (D),Democratic hold,149737,113427,,0.569,0.431,0,D+13.8,R+5.3,0.67
FL-15,0,Laurel Lee (R),Republican gain,102835,145219,,0.415,0.585,0,R+17.1,R+14,0.67
FL-16,-1,Vern Buchanan (R),Republican hold,115575,189762,21,0.378,0.621,0,R+24.3,R+15.4,0.74
FL-17,-1,Greg Steube (R),Republican hold,123822,222601,2226,0.355,0.638,0.006,R+28.3,R+12.4,0.77
FL-18,-1,Scott Franklin (R),Republican hold,0,167429,56805,0,0.747,0.253,R+74.7,R+51.9,0.64
FL-19,-1,Byron Donalds (R),Republican hold,100226,213035,13,0.32,0.68,0,R+36,R+15,0.72
FL-20,1,Sheila Cherfilus-McCormick (D),Democratic hold,136215,52151,,0.723,0.277,0,D+44.6,R+7.6,0.57
FL-21,-1,Brian Mast (R),Republican hold,119891,208614,,0.365,0.635,0,R+27,R+17.6,0.74
FL-22,1,Lois Frankel (D),Democratic hold,150010,122194,,0.551,0.449,0,D+10.2,R+7.4,0.69
FL-23,0,Jared Moskowitz (D),Democratic hold,143951,130681,4417,0.516,0.468,0.016,D+4.8,R+8.4,0.68
FL-24,1,Frederica Wilson (D),Democratic hold,133442,52449,,0.718,0.282,0,D+43.6,R+5.4,0.56
FL-25,1,Debbie Wasserman Schultz (D),Democratic hold,129113,105239,,0.551,0.449,0,D+10.2,R+9.7,0.61
FL-26,-1,Mario Diaz-Balart (R),Republican hold,58868,143240,,0.291,0.709,0,R+41.7,R+23.4,0.65
FL-27,-1,Maria Elvira Salazar (R),Republican hold,101404,136038,,0.427,0.573,0,R+14.6,R+14.3,0.66
FL-28,-1,Carlos Gimenez (R),Republican hold,76665,134457,28,0.363,0.637,0,R+27.4,R+21,0.62
GA-01,-1,Buddy Carter (R),Republican hold,107837,156128,0,0.409,0.591,0,R+18.3,R+4.9,0.78
GA-02,1,Sanford Bishop (D),Democratic hold,132675,108665,0,0.55,0.45,0,D+9.9,R+0.4,0.76
GA-03,-1,Drew Ferguson (R),Republican hold,97057,213524,,0.313,0.687,0,R+37.5,R+7.4,0.81
GA-04,1,Hank Johnson (D),Democratic hold,216332,59302,,0.785,0.215,0,D+57,R+0.7,0.77
GA-05,1,Nikema Williams (D),Democratic hold,243687,51769,,0.825,0.175,0,D+65,R+1.6,0.8
GA-06,0,Rich McCormick (R),Republican gain,125612,206886,0,0.378,0.622,0,R+24.4,R+9.7,0.8
GA-07,1,Lucy McBath (D),Democratic hold,143063,91262,,0.611,0.389,0,D+22.1,R+3.7,0.72
GA-08,-1,Austin Scott (R),Republican hold,81886,178700,,0.314,0.686,0,R+37.2,R+9.5,0.79
GA-09,-1,Andrew Clyde (R),Republican hold,81318,212820,,0.276,0.724,0,R+44.7,R+6.8,0.79
GA-10,0,Mike Collins (R),Republican hold,109107,198523,,0.355,0.645,0,R+29.1,R+5.6,0.81
GA-11,-1,Barry Loudermilk (R),Republican hold,113571,190086,0,0.374,0.626,0,R+25.2,R+9.9,0.79
GA-12,-1,Rick Allen (R),Republican hold,107148,158047,,0.404,0.596,0,R+19.2,R+9,0.78
GA-13,1,David Scott (D),Democratic hold,216388,48228,,0.818,0.182,0,D+63.5,D+3.2,0.77
GA-14,-1,Marjorie Taylor Greene (R),Republican hold,88189,170162,,0.341,0.659,0,R+31.7,D+5.7,0.76
HI-01,1,Ed Case (D),Democratic hold,143546,51217,,0.737,0.263,0,D+47.4,D+18,0.7
HI-02,1,Jill Tokuda (D),Democratic hold,128407,72874,5130,0.622,0.353,0.025,D+26.9,R+2.6,0.7
IA-01,-1,Mariannette Miller-Meeks (R),Republican hold,142173,162947,260,0.466,0.534,0.001,R+6.8,R+3.9,0.71
IA-02,-1,Ashley Hinson (R),Republican hold,145940,172181,278,0.458,0.541,0.001,R+8.2,R+3.9,0.73
IA-03,1,Zach Nunn (R),Republican gain,154117,156262,534,0.496,0.503,0.002,R+0.7,R+0.3,0.74
IA-04,-1,Randy Feenstra (R),Republican hold,84230,186467,6311,0.304,0.673,0.023,R+36.9,R+10.9,0.68
ID-01,-1,Russ Fulcher (R),Republican hold,82261,222901,7280,0.263,0.713,0.023,R+45,R+6.9,0.7
ID-02,-1,Mike Simpson (R),Republican hold,98736,172450,,0.364,0.636,0,R+27.2,R+4.2,0.65
IL-01,0,Jonathan Jackson (D),Democratic hold,159142,78258,25,0.67,0.33,0,D+34.1,R+8.3,0.64
IL-02,1,Robin Kelly (D),Democratic hold,140414,68761,,0.671,0.329,0,D+34.3,R+5.7,0.63
IL-03,0,Delia Ramirez (D),Democratic gain,121764,55995,,0.685,0.315,0,D+37,R+4.4,0.6
IL-04,1,Chuy García (D),Democratic hold,91036,37352,4659,0.684,0.281,0.035,D+40.3,R+6,0.55
IL-05,1,Mike Quigley (D),Democratic hold,190999,79112,4439,0.696,0.288,0.016,D+40.8,D+1,0.68
IL-06,1,Sean Casten (D),Democratic hold,150496,126351,12,0.544,0.456,0,D+8.7,R+2.2,0.7
IL-07,1,Danny Davis (D),Democratic hold,167650,,96,0.999,0,0.001,D+99.9,D+27.1,0.52
IL-08,1,Raja Krishnamoorthi (D),Democratic hold,117880,89335,,0.569,0.431,0,D+13.8,R+1.6,0.62
IL-09,1,Jan Schakowsky (D),Democratic hold,179615,70915,,0.717,0.283,0,D+43.4,D+2,0.66
IL-10,1,Brad Schneider (D),Democratic hold,152566,89599,,0.63,0.37,0,D+26,D+0.1,0.68
IL-11,1,Bill Foster (D),Democratic hold,149172,115069,,0.565,0.435,0,D+12.9,R+2.4,0.7
IL-12,-1,Mike Bost (R),Republican hold,72791,218379,1,0.25,0.75,0,R+50,R+7.2,0.76
IL-13,0,Nikki Budzinski (D),Democratic gain,141788,108646,16,0.566,0.434,0,D+13.2,D+2,0.7
IL-14,1,Lauren Underwood (D),Democratic hold,128141,108451,8,0.542,0.458,0,D+8.3,R+3.1,0.68
IL-15,-1,Mary Miller (R),Republican hold,86396,213007,,0.289,0.711,0,R+42.3,R+3.5,0.76
IL-16,-1,Darin LaHood (R),Republican hold,100325,197621,,0.337,0.663,0,R+32.7,R+11.1,0.74
IL-17,0,Eric Sorensen (D),Democratic hold,121186,111931,6,0.52,0.48,0,D+4,R+3.8,0.7
IN-01,1,Frank Mrvan (D),Democratic hold,112656,100542,9,0.528,0.472,0,D+5.7,R+2.7,0.63
IN-02,-1,Rudy Yakym (R),Republican hold,62955,125537,5881,0.324,0.646,0.03,R+32.2,R+9.6,0.62
IN-03,-1,Jim Banks (R),Republican hold,60577,131579,9386,0.301,0.653,0.047,R+35.2,R+5.3,0.61
IN-04,-1,Jim Baird (R),Republican hold,62834,134864,,0.318,0.682,0,R+36.4,R+7.3,0.57
IN-05,-1,Victoria Spartz (R),Republican hold,93434,146575,,0.389,0.611,0,R+22.1,R+6.2,0.65
IN-06,-1,Greg Pence (R),Republican hold,62838,130686,,0.325,0.675,0,R+35.1,R+3.1,0.58
IN-07,1,André Carson (D),Democratic hold,117309,53631,4240,0.67,0.306,0.024,D+36.4,R+6,0.58
IN-08,-1,Larry Bucshon (R),Republican hold,68109,141995,5936,0.315,0.657,0.027,R+34.2,R+1.4,0.63
IN-09,-1,Erin Houchin (R),Republican hold,75700,143166,6410,0.336,0.636,0.028,R+29.9,R+2.6,0.63
KS-01,-1,Tracey Mann (R),Republican hold,77092,161333,,0.323,0.677,0,R+35.3,R+5.7,0.74
